"prov1t","estratopri","mean_conservative","mean_age","vulnerability_rate","mean_confidence_comunity","rate_victims","mean_police_satisfaction","mean_neighborhood_security","rate_direct_vote","rate_experts","mean_strong_leaders_support","mean_institutions_respect","mean_system_pride","mean_system_support","mean_local_gov_trust","mean_mass_media_trust","mean_lelections_trust","mean_president_trust","mean_american_pride","rate_economy_worse","highlight"
"Alabama","South",6.59700361719503,43.3077549085233,0.0663103670004396,5.98641016638978,0.0122816739452478,7.05122045188953,8.41828253693532,0.678529267781648,0.279220096430766,5.10818734347217,3.71795634874108,3.18487625478855,3.69268281080155,3.97721141457315,1.8817251229116,3.01502724511,2.92264291470461,5.10460351028185,0.228430291238445,0
"Alaska","West",5.8601283793697,38.805146654317,0.212065815644099,7.37549052976152,0.0563167555653409,7.03836891383221,9.46983546088975,0.806903520006944,0.162262027548707,4.44017266890648,2.75709973191155,3.18967540872569,3.61380704001389,4.1398716206303,1.32452405509741,3.15884095628134,2.08162378700896,4.96133785855169,0.162262027548707,0
"Arizona","West",6.17994348747678,53.351705685695,0.0202737009582717,7.85731175666726,0.00137998265005842,8.40654870042472,9.13591996829662,0.528138572433242,0.199287755630879,3.75528993999705,3.61750890413609,4.44326907992424,4.75998006206106,4.66807062526493,2.24448204810064,3.98127494679756,3.11585992422283,6.01156990006481,0.223225224588278,0
"Arkansas","South",6.60346067764708,68.1555074691743,0.0996893817032151,7.70659158363595,0.0147377017593038,7.82280919738589,8.65913341431174,0.74628550467316,0.244883338401323,3.6867339908954,4.31253500328654,5.47580997697463,5.12188328911919,4.40188931499952,2.54978818218804,4.25858753526842,3.48611552651266,5.73607807145917,0.0861957743636387,0
"California","West",5.057790811079,45.6543585580471,0.146492302288013,7.02039491465237,0.000753116971092507,6.70132406405513,7.25297745092233,0.586928219252854,0.362041123878547,3.85601952251683,3.77756604702698,4.15398021467633,4.56134731418797,4.12711503560523,2.9576746087768,4.20953227870048,3.95955382551987,5.05937700363492,0.228042701246887,0
"Colorado","West",6.30179698696269,45.5342854595474,0.147274396269228,6.72289368647699,0.00723670755986292,7.52088445510929,8.08016419454898,0.697817668095228,0.58566325407391,5.34380937670224,3.7417350784854,4.0804685621224,4.02514473204681,3.71388155883694,2.49613642089458,4.48240244950318,3.31093106269028,5.16401761280234,0.174714122017851,0
"Connecticut","Northeast",7.48500937313077,57.1851181854629,0.131674733330466,7.8418910477455,0,9.00280364731466,8.18043426820063,0,0,5.64419457825235,3.47731009356391,6.38656514234128,6.52209421675448,5.59277170897013,2.37988725622184,4.0550660577825,3.39728234072243,7,0,0
"Delaware","South",1.86054865138581,63.8017204501264,0,7.76331177603729,0,7.30451362872164,8.30313894455851,0.719638986880797,0.118679910042243,2.9846110015711,4.16209030625026,4.44245131936946,4.74227794451687,4.9548907059945,4.31027292201717,6.15084320759372,6.0218381558493,5.81833905847351,0,0
"District of Columbia","South",4.26179494947015,54.812905946055,0.0882710755026678,6.03669385117164,0,6.49355843339871,5.02807974550926,0.594516513787971,0.491762212480161,4.37180804895224,3.63014715106965,4.76935091227578,4.96421137927795,4.06966110059917,3.91572044242719,5.98339541744816,5.30797159843135,6.22772808343299,0.216475716507216,0
"Florida","South",5.52874445169494,49.7681605576526,0.0877957824985373,7.26340957750087,0.0010542826688225,7.44147117965234,7.75712047569482,0.66463019736279,0.305448517834471,4.35251377096496,4.34066766734735,4.51244842801733,4.91447008393127,4.39236571746481,3.29363865939052,4.55331071428428,3.95117217496373,5.48255484597265,0.190792450129241,0
"Georgia","South",5.76917816852594,47.6084650638646,0.112296250095053,7.37186529720581,0.00263305594163647,7.28928770237015,7.88923266548789,0.507628179875795,0.155598645686536,4.23182013610212,4.31910225591106,4.64793352903022,5.03526776649573,4.27120693300931,3.01394103541021,4.21998849280695,4.25331380807254,5.57950691150161,0.326215967728998,0
"Hawaii","West",3.64556047175187,45.5175484177438,0,5.98759258497476,0.106999014574518,5.31867290719218,5.31867290719218,0.091600262641121,0.359168133754152,3.46705738682688,3.72174954660003,2.9088644444782,3.60884095222115,3.52642056946271,3.48761845907984,4.43090593422565,4.09109916913692,3.16430386373615,0.462896848250355,0
"Idaho","West",7.8282134596211,57.7088858500851,0.228432559257677,8.18980997965361,0.00309518628843762,8.27249464906388,9.1793446089358,0.749381024990593,0.0877164481857179,2.49291991762285,3.10465518630382,4.25058216787031,4.82582605735562,4.1700993911457,1.75892955983138,2.78959595438397,2.37585435469622,5.83504444526802,0.036162091708602,0
"Illinois","Midwest",4.53726118065645,48.1729746608775,0,7.31210179319123,0.00225506013162482,7.17323100432563,7.39294677347621,0.575245123811053,0.307971534611811,4.07722442257405,3.85146884549015,4.37592401199178,4.74166564133769,4.32339573619047,3.2098515216838,4.51924555197621,4.1461655231112,5.01813987267894,0.293969296775376,1
"Indiana","Midwest",6.79975000882645,47.270930505249,0.0556375822511089,7.55860881085807,0.00601887154294844,8.48910637196138,8.44143568903312,0.582807386103668,0.192976373251487,4.87031220189054,3.33667631582424,4.68371847042537,5.32928991235879,4.11665941467091,2.10749213416626,4.13671936242581,2.72717468883815,5.55323291725926,0.105120557792348,0
"Iowa","Midwest",6.54755678668147,54.8157923895246,0,7.37333751959246,0.00792966447453158,8.3938977729054,8.78189589651738,0.668408454695921,0.164224057316846,3.52195736377627,3.7095106010134,5.17170757194617,5.29230607117291,4.77462831595574,2.9274376177426,3.804317253232,3.23302053506062,6.12965693694159,0.165151859921739,0
"Kansas","Midwest",4.62182408625507,49.784855245051,0.0736802916778822,6.46222003746664,0.0105963441794443,7.39877398864949,6.62522548194573,0.686587144660551,0.29364823184961,4.03834402992142,2.92954427892868,3.87349187315266,4.70755545600466,4.2152354780789,1.87448152005587,4.65635130022455,3.22821964098674,5.39911906884135,0,0
"Kentucky","South",6.17794179756055,44.9803299412476,0.0269640414331211,6.8065477720016,0.00199960261298096,7.43870907074579,7.85632769883706,0.788149687154857,0.299609213250282,3.31570057444989,3.61637048335005,3.48708141849434,4.23660151310249,3.45761110815292,2.43622406050704,3.80349819818661,3.29159941473703,5.09509065156237,0.142948566002496,0
"Louisiana","South",7.44583130172406,50.6238606959758,0,7.63764590142309,0,8.09529653820566,8.57868610756203,0.64329466424603,0.142549832075629,3.20230356895485,4.65050834795844,5.76467453753148,5.22961765777447,4.94437505624056,2.28282721405297,3.86001410876667,3.08765181554547,6.02686198912768,0.122569999725527,0
"Maine","Northeast",6.26854687020094,37.34929362815,0,6.00857916318232,0,8.24227923299517,7.82676285704278,0.837179705503362,0.329099863567009,5.75299334360849,5.0459447943387,5.50104924936008,5.40115980274645,4.87966522526833,3.44653630822118,3.41627811195073,3.26657313387047,5.63741251058799,0,0
"Maryland","South",3.74459060750316,39.5319701161306,0.046884333389122,5.47986144570823,0.00129881415366253,5.25215958025732,5.86452820487414,0.370830236209876,0.0937702866825683,2.51641816007864,2.98981406450081,3.37022206388475,3.43854577116813,3.1041859062221,2.34970057986923,3.56306152789036,2.92189940746235,4.00793891387327,0.192169605941765,0
"Massachusetts","Northeast",4.6671435439077,43.8241422907887,0.0882116606825526,7.08416068027151,0.00406005012313293,7.17614409604044,8.00911132535404,0.384490525319411,0.153162921387985,3.43060509578545,3.44571918056174,3.51748512655702,3.65857317990242,3.52697806675253,2.82444210495711,4.21203035717984,3.75133505984528,5.01377864024568,0.135055777611356,0
"Michigan","Midwest",5.13304079366416,48.5933938454082,0.0756100175669448,7.23139209316737,0.00304024135067064,7.30262170852855,8.32599932640358,0.613957594733157,0.321680930477907,3.47927101877687,3.62422995325745,4.04438923011276,4.40575826537102,3.96378018815633,2.52951428041746,3.98278460515094,3.27683003286839,5.08054749912724,0.211790358469622,0
"Minnesota","Midwest",5.61948919389094,46.2123680122301,0.108298310563264,8.24025185342514,0.00219493910102232,7.65274902683007,9.05464643603515,0.541077285703369,0.276171808586386,3.91899035092038,4.75802176368899,4.32221623901458,4.79533183243142,4.06599636689713,3.11020667337551,4.78450597955394,4.32565072296362,6.08767618225639,0.0685388305397704,0
"Mississippi","South",4.88462182718649,39.7762548256425,0.384314672099784,6.27186204757315,0,7.05986491791163,8.20678111796042,0.958796195730595,0.282712447184167,4.84992720479602,3.91747381363907,4.17071791725241,4.09033909007233,3.84680166579883,3.83506620510026,4.36029386510603,3.99655254066442,5.1474308529967,0,0
"Missouri","Midwest",6.73031650269134,50.8444029840087,0.108451767267385,6.64111408321524,0.00304489822868031,7.029999142592,7.78960191016375,0.393781456273553,0.0493873443711664,3.08035557990845,3.76609318624996,4.51977165138151,4.50572663276277,4.57454705772047,1.42065240509027,3.66751932719628,2.03690588573583,5.68823211894326,0.0713636791197407,0
"Montana","West",8.43378895821888,49.7650270627627,0,7.5,0,7.5,8.71134793221407,0.166457789432643,0.166457789432643,3.38833244693537,2.7487562900302,5.99367005890758,5.19104950256897,5.62640524918194,2.09142938661952,2.84994319437374,2.54161932864479,6.00975751772403,0,0
"Nebraska","Midwest",3.77183140014492,48.5323363577093,0,4.92469821863812,0,4.63272142666721,4.63272142666721,0.482655985658829,0.26095566523938,1.56705233527461,2.21534183418926,2.80290742347917,3.19614692401229,2.96256549043556,1.99364151376981,3.32481875395793,2.47629749942864,3.16877269234964,0.116790716788365,0
"Nevada","West",6.74504530974061,46.6298261700239,0.0714643567206834,5.82443346256949,0.00773282157458581,7.68920643969489,7.20633531364524,0.545902626015724,0.211836324200187,3.71958422381687,4.51979422149114,5.36768557130054,5.2424928850579,4.27579120916172,2.55940765217531,4.23728398753253,3.00016763043574,5.98168614308798,0.0330617663185539,0
"New Hampshire","Northeast",5.87729547743089,39.910868895405,0.207057663928903,6.79572391254459,0.045477801455133,6.7765668770321,7.41302881455119,0.428941110802808,0,4.67023738147337,3.99231239082287,4.08644028740558,4.51538139820839,2.93457254876041,1.61351017758171,3.83629515505825,2.84299456895644,5.23160861215256,0,0
"New Jersey","Northeast",4.34631437877191,49.7326394062788,0.122939306868728,7.10620134111764,0.00191773939523538,7.31710665223545,8.468514799449,0.43862159807623,0.262127345731146,4.54525797906794,4.11586115751002,4.68699128422931,5.03769642314648,4.52713682099766,3.59034629215882,5.03289021582038,4.68977152795984,5.50239738853239,0.167425688647809,0
"New Mexico","West",3.46994260313063,30.2841103485248,0.234971301565316,6.17485650782658,0,3.67485650782658,6.17485650782658,0.234971301565316,1,1.91257174608671,2.70491390469595,1.93988520626126,2.93988520626126,1.46994260313063,1.46994260313063,5.46994260313063,4.23497130156532,1.70491390469595,0,0
"New York","Northeast",5.97734299058857,42.6152049282509,0.18248564590547,7.06643915388505,0.000837448528307285,7.42242431154762,7.72127596198998,0.586229430382284,0.371806569753927,4.97285494707128,4.62585574220029,4.60582180353499,4.90646451948045,4.25882238023036,3.67089534574564,4.53676854018919,4.19314406904935,5.40256359693667,0.196270747674633,0
"North Carolina","South",5.35684559784239,47.5982612475766,0.234443435307576,7.51015237712492,0.00247184849507655,7.46416425420847,7.77611061848928,0.580903344696887,0.373153682933157,4.35523870838325,3.93330439948585,4.69605411910241,5.04477099227751,4.65591997409808,3.34157247405715,4.78202861185923,4.16619152574527,5.32210250861925,0.139049016149778,0
"North Dakota","Midwest",7.39457782917711,46.7045349039963,0,7.5,0,7.5,6.77798319270723,1,0,4.1451484242351,3.68437796912962,3.94736280112885,6.34194063030596,3.34243733882366,2.92054749317557,4.26298483199923,3.2898001399525,6.65756266117634,0.684377969129617,0
"Ohio","Midwest",5.10401838360319,47.5651357697011,0.123181254944128,7.46122575875513,0.000934933065676327,7.33526569975573,8.34675177350658,0.647102624262432,0.177331485180878,3.50146233948132,3.46643743084158,4.05691089044667,4.15013517617887,3.86443542834295,2.94754840341575,4.19352322513927,3.26806704336789,5.00612108895284,0.299600423667426,0
"Oklahoma","South",5.32326936555636,49.5930419688433,0.0531068729071707,7.55950147953681,0.0280712443717456,6.59676460076628,8.41827920775569,0.436383201605816,0.431289905132388,3.49631446221905,4.06571688157705,5.05300705394168,4.58330631892949,3.56796703098326,2.43385297836627,4.06146047105486,3.35695433654453,5.39353289623829,0.525220057359269,0
"Oregon","West",4.63300769925925,53.1081306387305,0.0675358710763889,7.57915956705339,0.00349349650605869,7.24512598130624,8.62042256097292,0.615989227918394,0.368076026787681,3.63715726705407,4.31046890793197,4.27173206982887,5.16577992832307,4.45376741487467,3.14850333103996,4.79630509787671,4.20847580791014,4.82632348238977,0.133526325551411,0
"Pennsylvania","Northeast",5.85085446103476,50.9786142133744,0.0363223372278795,7.34166778533498,0.00101125759432694,7.71112974508787,8.17541300237018,0.548644948038182,0.303442608977265,4.30449905118639,4.03740740770191,4.49879288910747,4.73673261456323,4.36640907121743,2.35090160624586,3.81001289873932,3.0315809443376,5.23346045470738,0.181167953859391,0
"Rhode Island","Northeast",6.78232166143682,32.8018679756049,0.0789657129003668,8.00432298905198,0,6.71196203374151,7.98112925945743,0.886514009117397,0.719645423279013,7.63596859748021,3.23396545073479,4.25480445727867,4.26979790605123,4.75319385572721,2.92802775606921,3.15499973783442,3.12047945985218,4.61511274379827,0.394180899403762,0
"South Carolina","South",7.23816923258092,49.8728317005336,0.034118088290765,7.08771587597034,0.00764212031953623,7.43959996120039,8.01838587969413,0.684574460634549,0.206672632405098,4.35379566262701,4.22991718821294,4.33484535375807,4.27935419525182,3.32678082542108,2.94143398060979,3.45059807001597,3.00466296707928,5.21637266425222,0.178824072879514,0
"South Dakota","Midwest",7.49595068086599,70.0554473383982,0,8.9578691388869,0,8.9578691388869,8.9578691388869,0.416852344445239,0.13797236399422,1.0421308611131,2.66447412531838,2.52650176132416,7,4.69573232489626,3.36314170267721,3.50111406667143,3.36314170267721,7,0,0
"Tennessee","South",4.90294472820382,44.0922636467413,0.0751246944009946,6.62357600211562,0.000742664682225127,6.94391747827469,7.93112189651108,0.587966751047761,0.167112373249879,4.1940170570962,3.81460155329126,4.64299363981892,4.61198828756575,3.60457950586152,2.39196678479733,3.74723125338071,3.48318993317145,5.2142444338354,0.101668161455239,0
"Texas","South",5.21546757753434,46.7480719190931,0.13733876875729,7.2849513341811,0.000644841396142958,7.57839737713998,7.90699416181146,0.620281243227507,0.327922751053935,3.75550854304636,3.66254784431145,4.48023561305531,4.57523458944818,4.02376975206324,2.64917465861742,3.90329386664397,3.60555675933832,5.43232746712392,0.222826189646592,0
"Utah","West",5.35189930161502,42.9274794697589,0.0316453299197858,6.96498647104127,0.0197769683722553,7.16833761328905,8.25061690657591,0.592622643068148,0.355094417383925,4.20148610277031,3.28299543958796,4.05246338251332,4.16174208015408,3.77388442576034,2.05520396466547,3.94287464878862,3.01082811316904,4.66752060627523,0.340707958616425,0
"Vermont","Northeast",6.77537925606756,41.9429020312308,0.221643436868491,5.40084220489924,0.188113720033498,8.84834973430984,7.30330053138031,0.760983330592429,0,4.59915779510076,4.33506968939453,5.09605301998696,5.33506968939453,3.63837022077484,2.49540657135422,4.81310302820967,2.65574345331392,5.17473280743483,0.460660106276062,0
"Virginia","South",5.82043582869825,44.8294644591842,0.0453853490485236,7.21677638905708,0.00155055684627844,7.92715177206094,8.47689007976018,0.511996111693423,0.286058172402062,4.07414178488743,3.5696949850764,3.96214893030767,4.41021317660664,4.16173181720283,2.49881941185411,3.70185635338739,3.44197645513918,5.70620404117251,0.275352905778918,0
"Washington","West",3.98503693838892,50.2977110197566,0.161235979111284,7.54100405003768,0.00736905417369726,7.0632603465139,8.35190403113828,0.424874818710749,0.235360825182225,3.30075081061337,4.20052470893926,4.36241739908314,4.7559881908387,4.39578008802226,3.18422175880873,5.12500232500251,4.76593981864807,4.94003545578281,0.2261962873007,0
"West Virginia","South",4.79376501468724,44.7046186755748,0.139383205120685,5.13462937197126,0.026507787498257,5.24373585721887,6.74967380669136,0.366447031462323,0.0456725984476932,3.58325908739371,3.28491533111014,2.99491710499536,3.8546259239291,2.71703769571001,1.51012152850351,3.73511274543583,3.14697465869317,4.74093997254089,0.159246481714298,0
"Wisconsin","Midwest",4.12682972844412,44.0389823863596,0.0502717259134617,6.88161110970004,0.00391294964200246,7.12748333990924,8.04024204516483,0.465513131159586,0.29658727114942,3.1629152329308,3.65542060194057,3.76385863371379,4.19546312330774,4.29770634289393,2.77803884458054,4.74016193222264,3.74481354707234,4.33474556942631,0.0938223904058034,0
"Wyoming","West",4,41.7077615957249,0,8.58847019946561,0.358831612830052,7.5,8.58847019946561,0,0,0,4.56461192021375,4.43538807978625,4,5.43538807978625,5,6,5.56461192021376,6,0,0
